id,x,y,true_label,typology,kmeans_cluster,kmeans_matched
321,10.272778,34.106304,1,t2,4,1
322,-34.18985,-9.00987,2,t3,1,2
323,-24.694447,22.807785,0,t1,5,0
324,-22.546238,18.629244,0,t1,5,0
325,-19.283224,23.183817,0,t1,5,0
326,31.2966,-14.832402,5,t6,0,5
327,-28.420338,14.458683,0,t1,5,0
328,-17.352303,-28.972857,6,t7,3,6
329,-5.115646,-5.8653717,3,t4,2,3
330,-15.41197,-32.90906,6,t7,3,6
331,22.928415,-9.150337,5,t6,0,5
332,37.14501,8.030379,4,t5,7,4
333,-40.592598,3.9861684,2,t3,1,2
334,-10.978792,-19.693007,6,t7,3,6
335,42.27502,-7.4213853,5,t6,0,5
336,-6.2427135,2.8944042,3,t4,2,3
337,-20.225763,21.650087,0,t1,5,0
338,7.2819805,39.72721,1,t2,4,1
339,39.180912,-13.902271,5,t6,0,5
340,-40.625374,4.2253423,2,t3,1,2
341,2.3323243,38.924793,1,t2,4,1
342,-36.41527,22.613789,0,t1,5,0
343,-34.297985,-14.31074,6,t7,1,2
344,-39.44737,-0.4136199,2,t3,1,2
345,16.941294,-36.705986,7,t8,6,7
346,4.041107,-13.249457,3,t4,2,3
347,15.926691,30.175354,1,t2,4,1
348,37.890186,10.00497,4,t5,7,4
349,40.177055,-12.884112,5,t6,0,5
350,2.186954,38.974724,1,t2,4,1
351,10.658481,33.930477,1,t2,4,1
352,-4.692853,-2.801551,7,t8,2,3
353,-3.8912587,-5.1657786,3,t4,2,3
354,21.274866,22.107391,4,t5,7,4
355,38.06668,-13.890883,5,t6,0,5
356,8.789713,-25.323116,7,t8,6,7
357,-44.315216,0.49199197,2,t3,1,2
358,-16.407127,-33.630074,6,t7,3,6
359,-16.444504,-31.841717,6,t7,3,6
360,-38.2275,-8.552072,2,t3,1,2
361,3.684008,-14.009813,3,t4,2,3
362,40.02765,-13.242468,5,t6,0,5
363,13.571639,32.27408,1,t2,4,1
364,-7.1841145,-9.671065,3,t4,2,3
365,-33.889267,-10.890109,2,t3,1,2
366,36.874825,16.163454,4,t5,7,4
367,-34.024616,-14.469075,6,t7,1,2
368,12.406005,36.034973,1,t2,4,1
369,-40.41888,-5.8499565,2,t3,1,2
370,6.3961725,-29.163437,7,t8,6,7
371,-37.869877,-10.587477,2,t3,1,2
372,-29.308054,14.631632,0,t1,5,0
373,17.200377,25.917377,4,t5,7,4
374,-30.996357,19.28225,0,t1,5,0
375,-44.0367,-4.4802747,2,t3,1,2
376,0.70626736,11.82468,3,t4,2,3
377,1.1086302,11.993362,3,t4,2,3
378,20.641232,-0.90079975,5,t6,0,5
379,-1.1057228,-5.8936443,3,t4,2,3
380,-37.721764,18.932602,0,t1,5,0
381,0.9288536,10.258154,7,t8,2,3
382,11.512747,-29.751999,7,t8,6,7
383,0.41378808,10.647726,7,t8,2,3
384,1.754979,44.874302,1,t2,4,1
385,15.965099,30.056686,1,t2,4,1
386,18.894815,-38.08538,7,t8,6,7
387,20.86608,23.007996,4,t5,7,4
388,39.655018,-12.648916,5,t6,0,5
389,5.889258,-29.770094,7,t8,6,7
390,-4.9258237,-4.7440653,3,t4,2,3
391,36.44509,17.483437,4,t5,7,4
392,-6.3674135,-9.128441,3,t4,2,3
393,-15.963578,-32.126915,6,t7,3,6
394,-42.193985,1.2988694,2,t3,1,2
395,-4.677603,-5.7627625,3,t4,2,3
396,-23.409397,17.134718,0,t1,5,0
397,-6.4122005,-13.803904,3,t4,2,3
398,-21.000933,21.432243,0,t1,5,0
399,19.286612,26.03984,4,t5,7,4
400,18.60182,22.602184,4,t5,7,4
401,-13.781807,-28.77703,6,t7,3,6
402,38.195206,-12.561819,5,t6,0,5
403,-32.892498,-14.065538,6,t7,3,6
404,23.389502,-9.308035,5,t6,0,5
405,-41.95572,1.48604,2,t3,1,2
