typology,curve,candidate_frame,window_start,window_end,combined_intensity,l2_intensity,dssim_intensity
t1-1,curve_13,10,7,13,0.7774332506095485,0.7777704133762097,0.7770960878428873
t1-1,curve_13,11,8,14,0.9999999910944325,0.999999999996208,0.999999982192657
t1-1,curve_13,12,9,15,0.9701264617722415,0.9822831149918202,0.9579698085526628
t1-1,curve_13,13,10,16,0.7933319784763868,0.7953523793017833,0.7913115776509905
t1-1,curve_14,11,8,14,0.9828106334087146,0.9771516923179348,0.9884695744994942
t1-1,curve_14,12,9,15,0.9999999909264415,0.9999999999958996,0.9999999818569835
t1-1,curve_14,13,10,16,0.8662177905683123,0.8697211053523649,0.8627144757842596
t1-1,curve_15,10,7,13,0.7953450339941552,0.7947961674261426,0.7958939005621678
t1-1,curve_15,11,8,14,0.9997226582119316,0.9994453349074642,0.999999981516399
t1-1,curve_15,12,9,15,0.9856806284420845,0.9999999999958903,0.9713612568882786
t1-1,curve_15,13,10,16,0.8150683881811467,0.8271501655657961,0.8029866107964972
t1-1,curve_16,11,8,14,0.9970884333389882,0.9941768847356225,0.999999981942354
t1-1,curve_16,12,9,15,0.9865387515032514,0.9999999999959711,0.9730775030105318
t1-1,curve_16,13,10,16,0.8215107477992978,0.8318638820866228,0.8111576135119728
t1-1,curve_17,10,7,13,0.751805075528419,0.7557181699783009,0.7478919810785372
t1-1,curve_17,11,8,14,0.9999999907846012,0.99999999999582,0.9999999815733824
t1-1,curve_17,12,9,15,0.9899938874340553,0.9912778704851899,0.9887099043829205
t1-1,curve_17,13,10,16,0.8275188328036432,0.8294480335046589,0.8255896321026276
t1-1,curve_18,10,7,13,0.7564422225255308,0.7479756554962358,0.7649087895548259
t1-1,curve_18,11,8,14,0.9897394206351915,0.9894832652184542,0.9899955760519289
t1-1,curve_18,12,9,15,0.999999990743845,0.9999999999957294,0.9999999814919608
t1-1,curve_18,13,10,16,0.8302657318421213,0.8299131512591301,0.8306183124251124
t1-1,curve_19,10,7,13,0.786963169557029,0.7931325067106915,0.7807938324033666
t1-1,curve_19,11,8,14,0.9999999910163756,0.9999999999961705,0.9999999820365807
t1-1,curve_19,12,9,15,0.9788385623733957,0.9895735317507893,0.9681035929960022
t1-1,curve_19,13,10,16,0.8090228333964146,0.8060895729327435,0.8119560938600856
