typology,curve,candidate_frame,window_start,window_end
b2,curve_31,31,28,34
b2,curve_31,32,29,35
b2,curve_31,33,30,36
b2,curve_31,34,31,37
b2,curve_31,35,32,38
b2,curve_32,6,3,9
b2,curve_32,7,4,10
b2,curve_32,8,5,11
b2,curve_32,25,22,28
b2,curve_32,26,23,29
b2,curve_32,27,24,30
b2,curve_32,31,28,34
b2,curve_32,32,29,35
b2,curve_32,33,30,36
b2,curve_32,34,31,37
b2,curve_33,6,3,9
b2,curve_33,7,4,10
b2,curve_33,25,22,28
b2,curve_33,26,23,29
b2,curve_33,32,29,35
b2,curve_33,33,30,36
b2,curve_33,34,31,37
b2,curve_33,35,32,38
b2,curve_34,5,2,8
b2,curve_34,6,3,9
b2,curve_34,7,4,10
b2,curve_34,24,21,27
b2,curve_34,25,22,28
b2,curve_34,30,27,33
b2,curve_34,31,28,34
b2,curve_34,32,29,35
b2,curve_34,33,30,36
b2,curve_34,34,31,37
b2,curve_35,6,3,9
b2,curve_35,7,4,10
b2,curve_35,8,5,11
b2,curve_35,25,22,28
b2,curve_35,26,23,29
b2,curve_35,27,24,30
b2,curve_35,31,28,34
b2,curve_35,32,29,35
b2,curve_35,33,30,36
b2,curve_35,34,31,37
b2,curve_36,5,2,8
b2,curve_36,6,3,9
b2,curve_36,7,4,10
b2,curve_36,30,27,33
b2,curve_36,31,28,34
b2,curve_36,32,29,35
b2,curve_36,33,30,36
b2,curve_36,34,31,37
b2,curve_37,6,3,9
b2,curve_37,7,4,10
b2,curve_37,8,5,11
b2,curve_37,9,6,12
b2,curve_37,13,10,16
b2,curve_37,14,11,17
b2,curve_37,15,12,18
b2,curve_37,31,28,34
b2,curve_37,32,29,35
b2,curve_37,33,30,36
b2,curve_37,34,31,37
b2,curve_37,35,32,38
b2,curve_38,6,3,9
b2,curve_38,7,4,10
b2,curve_38,8,5,11
b2,curve_38,9,6,12
b2,curve_38,27,24,30
b2,curve_38,28,25,31
b2,curve_38,29,26,32
b2,curve_38,30,27,33
b2,curve_39,5,2,8
b2,curve_39,6,3,9
b2,curve_39,7,4,10
b2,curve_39,30,27,33
b2,curve_39,31,28,34
b2,curve_39,32,29,35
b2,curve_39,33,30,36
b2,curve_40,5,2,8
b2,curve_40,6,3,9
b2,curve_40,7,4,10
b2,curve_40,24,21,27
b2,curve_40,25,22,28
b2,curve_40,30,27,33
b2,curve_40,31,28,34
b2,curve_40,32,29,35
b2,curve_40,33,30,36
b2,curve_41,6,3,9
b2,curve_41,7,4,10
b2,curve_41,8,5,11
b2,curve_41,12,9,15
b2,curve_41,13,10,16
b2,curve_41,14,11,17
b2,curve_41,28,25,31
b2,curve_41,29,26,32
b2,curve_41,30,27,33
b2,curve_41,31,28,34
b2,curve_41,32,29,35
b2,curve_41,33,30,36
b2,curve_42,5,2,8
b2,curve_42,6,3,9
b2,curve_42,7,4,10
b2,curve_42,24,21,27
b2,curve_42,25,22,28
b2,curve_42,26,23,29
b2,curve_42,31,28,34
b2,curve_42,32,29,35
b2,curve_42,33,30,36
b2,curve_43,5,2,8
b2,curve_43,6,3,9
b2,curve_43,7,4,10
b2,curve_43,30,27,33
b2,curve_43,31,28,34
b2,curve_43,32,29,35
b2,curve_43,33,30,36
b2,curve_44,5,2,8
b2,curve_44,6,3,9
b2,curve_44,7,4,10
b2,curve_44,26,23,29
b2,curve_44,27,24,30
b2,curve_44,28,25,31
b2,curve_44,29,26,32
b2,curve_44,30,27,33
b2,curve_45,6,3,9
b2,curve_45,7,4,10
b2,curve_45,24,21,27
b2,curve_45,25,22,28
b2,curve_45,26,23,29
b2,curve_45,30,27,33
b2,curve_45,31,28,34
b2,curve_45,32,29,35
b2,curve_45,33,30,36
b2,curve_46,6,3,9
b2,curve_46,7,4,10
b2,curve_46,8,5,11
b2,curve_46,25,22,28
b2,curve_46,26,23,29
b2,curve_46,27,24,30
b2,curve_46,32,29,35
b2,curve_46,33,30,36
b2,curve_46,34,31,37
b2,curve_46,35,32,38
b2,curve_47,6,3,9
b2,curve_47,7,4,10
b2,curve_47,8,5,11
b2,curve_47,9,6,12
b2,curve_47,12,9,15
b2,curve_47,13,10,16
b2,curve_47,14,11,17
b2,curve_47,32,29,35
b2,curve_47,33,30,36
b2,curve_47,34,31,37
b2,curve_47,35,32,38
b2,curve_48,6,3,9
b2,curve_48,7,4,10
b2,curve_48,8,5,11
b2,curve_48,31,28,34
b2,curve_48,32,29,35
b2,curve_48,33,30,36
b2,curve_48,34,31,37
b2,curve_48,35,32,38
b2,curve_49,6,3,9
b2,curve_49,7,4,10
b2,curve_49,8,5,11
b2,curve_49,9,6,12
b2,curve_49,10,7,13
b2,curve_49,27,24,30
b2,curve_49,28,25,31
b2,curve_49,29,26,32
b2,curve_49,30,27,33
b2,curve_49,31,28,34
b2,curve_49,32,29,35
b2,curve_50,5,2,8
b2,curve_50,6,3,9
b2,curve_50,7,4,10
b2,curve_50,24,21,27
b2,curve_50,25,22,28
b2,curve_50,26,23,29
b2,curve_50,30,27,33
b2,curve_50,31,28,34
b2,curve_50,32,29,35
b2,curve_50,33,30,36
b2,curve_51,5,2,8
b2,curve_51,6,3,9
b2,curve_51,7,4,10
b2,curve_51,19,16,22
b2,curve_51,20,17,23
b2,curve_51,21,18,24
b2,curve_51,22,19,25
b2,curve_52,7,4,10
b2,curve_52,8,5,11
b2,curve_52,9,6,12
b2,curve_52,21,18,24
b2,curve_52,22,19,25
b2,curve_52,23,20,26
b2,curve_52,24,21,27
b2,curve_53,4,1,7
b2,curve_53,5,2,8
b2,curve_53,6,3,9
b2,curve_53,7,4,10
b2,curve_53,8,5,11
b2,curve_53,20,17,23
b2,curve_53,21,18,24
b2,curve_53,22,19,25
b2,curve_53,23,20,26
b2,curve_54,6,3,9
b2,curve_54,7,4,10
b2,curve_54,8,5,11
b2,curve_54,9,6,12
b2,curve_54,10,7,13
b2,curve_54,11,8,14
b2,curve_54,21,18,24
b2,curve_54,22,19,25
b2,curve_54,23,20,26
b2,curve_54,24,21,27
